指标,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值
地区,日本,韩国,韩国,土耳其,土耳其,比利时,比利时,丹麦,丹麦,英国,英国,德国,德国,法国,法国,爱尔兰,爱尔兰,意大利,意大利,卢森堡,卢森堡,荷兰,荷兰,希腊,希腊,葡萄牙,葡萄牙,西班牙,西班牙,奥地利,奥地利,芬兰,芬兰,匈牙利,匈牙利,冰岛,冰岛,挪威,挪威,波兰,波兰,瑞典,瑞典,瑞士,瑞士,捷克,捷克,斯洛伐克,斯洛伐克,墨西哥,墨西哥,加拿大,澳大利亚,澳大利亚,新西兰,新西兰,欧元区
频度,月,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,月,季,月,季,月
2006-10,98.08,84.3,,53.98,,87.89,,87.84,,81.42,,87.89,,87.89,,87.89,,87.89,,87.89,,87.89,,87.89,,87.89,,87.89,,87.89,,87.89,,75.66,,51.93,,82.6,,81.9,,87.02,,130.9,,91.11,,107.61,,68.64,,88.26,99.66,,105.34,,87.89
2006-11,96.93,82.7,,53.27,,86.06,,86.01,,79.9,,86.06,,86.06,,86.06,,86.06,,86.06,,86.06,,86.06,,86.06,,86.06,,86.06,,86.06,,71.91,,52.45,,79.32,,78.68,,83.75,,128.34,,88.38,,102.79,,68.77,,88.9,97.22,,104.16,,86.06
2006-12,97,81.82,82.94,52.38,53.21,84.05,86,83.99,85.94,77.86,79.73,84.05,86,84.05,86,84.05,86,84.05,86,84.05,86,84.05,86,84.05,86,84.05,86,84.05,86,84.05,86,84.05,86,68.91,72.16,52.74,52.37,76.77,79.56,76.67,79.09,81.23,84,125.8,128.35,85.58,88.36,97.59,102.67,68.39,68.6,90.2,95.69,97.52,100.53,103.34,84.05
2007-01,99.48,82.82,,52.1,,85.33,,85.26,,77.99,,85.33,,85.33,,85.33,,85.33,,85.33,,85.33,,85.33,,85.33,,85.33,,85.33,,85.33,,69.97,,53.11,,78.93,,79.18,,82.87,,129.1,,87.09,,98.29,,68.97,,91.95,95.97,,100.32,,85.33
2007-02,99.56,82.84,,51.06,,84.77,,84.7,,78.01,,84.77,,84.77,,84.77,,84.77,,84.77,,84.77,,84.77,,84.77,,84.77,,84.77,,84.77,,69.33,,51.08,,76.67,,78.97,,83.28,,128.69,,87.78,,97.34,,69.26,,91.58,95.95,,100.49,,84.77
2007-03,96.94,83.39,83.01,51.46,51.54,83.73,84.61,83.6,84.52,78.44,78.15,83.73,84.61,83.73,84.61,83.73,84.61,83.73,84.61,83.73,84.61,83.73,84.61,83.73,84.61,83.73,84.61,83.73,84.61,83.73,84.61,83.73,84.61,67.46,68.92,50.78,51.66,76.12,77.24,77.73,78.63,83.24,83.13,126.54,128.11,86.08,86.98,94.2,96.61,70.03,69.42,91.43,94.76,95.56,99.75,100.19,83.73
2007-04,98.27,82.29,,49.7,,82.11,,82.02,,76.87,,82.11,,82.11,,82.11,,82.11,,82.11,,82.11,,82.11,,82.11,,82.11,,82.11,,82.11,,65.21,,49.6,,74.57,,74.88,,81.12,,126.05,,84.27,,91.28,,69.17,,88.8,90.88,,94.93,,82.11
2007-05,99.84,82.05,,48.87,,82.11,,82.01,,77.03,,82.11,,82.11,,82.11,,82.11,,82.11,,82.11,,82.11,,82.11,,82.11,,82.11,,82.11,,65.92,,47.84,,74.72,,74.24,,80.89,,126.95,,85.01,,91.89,,68.18,,85.64,91.11,,95.16,,82.11
2007-06,101.4,82.07,82.14,48.28,48.95,82.65,82.29,82.48,82.17,76.89,76.93,82.65,82.29,82.65,82.29,82.65,82.29,82.65,82.29,82.65,82.29,82.65,82.29,82.65,82.29,82.65,82.29,82.65,82.29,82.65,82.29,82.65,82.29,66.74,65.96,47.61,48.35,74.4,74.56,75.17,74.76,82.45,81.49,128.12,127.04,86.47,85.25,93.36,92.18,68.28,68.54,83.4,89.23,90.4,92.15,94.08,82.65
2007-07,100.39,81.16,,46.81,,80.87,,80.65,,75.11,,80.87,,80.87,,80.87,,80.87,,80.87,,80.87,,80.87,,80.87,,80.87,,80.87,,80.87,,64.53,,45.96,,71.73,,72.87,,79.46,,125.48,,84.01,,89.52,,68.1,,82.24,86.62,,88.7,,80.87
2007-08,96.44,82.65,,47.96,,81.45,,81.25,,75.97,,81.45,,81.45,,81.45,,81.45,,81.45,,81.45,,81.45,,81.45,,81.45,,81.45,,81.45,,67.14,,49.25,,72.55,,74.24,,81.22,,125.04,,83.14,,90.76,,69.59,,82.8,90.7,,96.22,,81.45
2007-09,95.08,82.12,81.98,46.16,46.98,79.74,80.69,79.64,80.52,75.69,75.59,79.74,80.69,79.74,80.69,79.74,80.69,79.74,80.69,79.74,80.69,79.74,80.69,79.74,80.69,79.74,80.69,79.74,80.69,79.74,80.69,79.74,80.69,65.23,65.64,48.33,47.85,69.8,71.36,72.25,73.12,79.14,79.94,123.15,124.56,80.65,82.6,89.77,90.01,69.49,69.06,80.29,88.8,88.71,97.05,93.99,79.74
2007-10,95.78,80.91,,43.84,,77.96,,77.89,,74.73,,77.96,,77.96,,77.96,,77.96,,77.96,,77.96,,77.96,,77.96,,77.96,,77.96,,77.96,,63.2,,46.01,,67.04,,69.04,,76.5,,122.03,,78.12,,87.16,,68.2,,76.32,83.62,,91.83,,77.96
2007-11,91.67,81.24,,43.51,,75.52,,75.46,,73.75,,75.52,,75.52,,75.52,,75.52,,75.52,,75.52,,75.52,,75.52,,75.52,,75.52,,75.52,,62.05,,46.08,,67.08,,65.99,,75.02,,116.62,,73.89,,83.36,,68.54,,75.7,83.89,,91.39,,75.52
2007-12,92.94,82.36,81.5,43.09,43.48,76.19,76.55,76.18,76.51,75.78,74.75,76.19,76.55,76.19,76.55,76.19,76.55,76.19,76.55,76.19,76.55,76.19,76.55,76.19,76.55,76.19,76.55,76.19,76.55,76.19,76.55,76.19,76.55,62.3,62.52,47.31,46.47,68.15,67.42,65.58,66.87,76.83,76.12,118.41,119.02,73.48,75.16,84.26,84.92,68.33,68.36,78.38,86.13,84.55,90.69,91.3,76.19
2008-01,89.16,83.32,,42.99,,75.4,,75.3,,77.55,,75.4,,75.4,,75.4,,75.4,,75.4,,75.4,,75.4,,75.4,,75.4,,75.4,,75.4,,62.31,,48.6,,67.07,,65.05,,76.03,,114.48,,72.04,,83.94,,68.73,,79.14,85.21,,90.34,,75.4
2008-02,88.52,83.5,,43.67,,75.28,,75.22,,77.83,,75.28,,75.28,,75.28,,75.28,,75.28,,75.28,,75.28,,75.28,,75.28,,75.28,,75.28,,63.74,,50.41,,66.9,,64.33,,75.37,,113.41,,70.03,,82.83,,67.84,,78.25,82.36,,87.53,,75.28
2008-03,83.23,86.82,84.55,45.46,44.04,71.45,74.04,71.41,73.98,76.36,77.25,71.45,74.04,71.45,74.04,71.45,74.04,71.45,74.04,71.45,74.04,71.45,74.04,71.45,74.04,71.45,74.04,71.45,74.04,71.45,74.04,71.45,74.04,59.95,62,54.86,51.29,63.84,65.94,60.43,63.27,71.91,74.44,105.14,111.01,66,69.36,77.24,81.34,67.62,68.06,78.46,81.49,83.02,87.15,88.34,71.45
2008-04,84.8,87.25,,47.58,,70.45,,70.45,,77.09,,70.45,,70.45,,70.45,,70.45,,70.45,,70.45,,70.45,,70.45,,70.45,,70.45,,70.45,,57.67,,56.13,,62.73,,57.98,,70.61,,105.34,,64.71,,75.67,,66.24,,79.5,80.85,,88.41,,70.45
2008-05,86.24,91.46,,45.64,,71.28,,71.32,,77.71,,71.28,,71.28,,71.28,,71.28,,71.28,,71.28,,71.28,,71.28,,71.28,,71.28,,71.28,,57.03,,57.1,,62.75,,58.05,,71.05,,108.56,,65.62,,74.58,,65.77,,78.18,79.13,,89.59,,71.28
2008-06,88.37,91.09,89.93,45.11,46.11,71.32,71.02,71.31,71.03,77.76,77.52,71.32,71.02,71.32,71.02,71.32,71.02,71.32,71.02,71.32,71.02,71.32,71.02,71.32,71.02,71.32,71.02,71.32,71.02,71.32,71.02,71.32,71.02,55.87,56.86,59.99,57.74,63.74,63.07,57.57,57.87,71.55,71.07,107.86,107.25,63.53,64.62,71.85,74.03,65.06,65.69,79.51,79.03,79.67,91.61,89.87,71.32
2008-07,88.3,89.99,,44.34,,70.4,,70.38,,76.88,,70.4,,70.4,,70.4,,70.4,,70.4,,70.4,,70.4,,70.4,,70.4,,70.4,,70.4,,52.69,,59.46,,63.34,,54.82,,71.2,,106.8,,60.72,,70.75,,64.36,,79.4,78.07,,92.39,,70.4
2008-08,90.35,92.52,,43.1,,74.21,,74.15,,81.07,,74.21,,74.21,,74.21,,74.21,,74.21,,74.21,,74.21,,74.21,,74.21,,74.21,,74.21,,56.46,,61.81,,66.11,,58.36,,74.52,,112.59,,66.06,,74.37,,63.68,,82.43,85.25,,98.27,,74.21
2008-09,88.13,100.36,94.29,45.26,44.23,77.32,73.98,77.28,73.94,85.04,81,77.32,73.98,77.32,73.98,77.32,73.98,77.32,73.98,77.32,73.98,77.32,73.98,77.32,73.98,77.32,73.98,77.32,73.98,77.32,73.98,77.32,73.98,60.08,56.41,69.16,63.48,70.52,66.66,62.28,58.49,79.13,74.95,115.33,111.58,69.27,65.35,77.5,74.21,67.07,65.04,82.82,91.86,85.06,103.42,98.03,77.32
2008-10,82.7,116.23,,54.31,,83.57,,83.54,,90.58,,83.57,,83.57,,83.57,,83.57,,83.57,,83.57,,83.57,,83.57,,83.57,,83.57,,83.57,,70.49,,86.5,,80.42,,71.58,,88.19,,118.76,,75.99,,83.87,,79.65,,92.35,109.96,,115.02,,83.57
2008-11,80.05,123.85,,58.32,,87.2,,86.97,,99.82,,87.2,,87.2,,87.2,,87.2,,87.2,,87.2,,87.2,,87.2,,87.2,,87.2,,87.2,,74.44,,102.6,,86.03,,77.82,,94.54,,123.73,,80.41,,87.87,,82.58,,95.36,114.29,,123.63,,87.2
2008-12,75.46,121.3,120.46,56.6,56.41,82.62,84.46,82.47,84.32,102.83,97.74,82.62,84.46,82.62,84.46,82.62,84.46,82.62,84.46,82.62,84.46,82.62,84.46,82.62,84.46,82.62,84.46,82.62,84.46,82.62,84.46,82.62,84.46,70.52,71.82,94.01,94.37,86.97,84.47,78.81,76.07,95.07,92.6,119.22,120.57,78.91,78.44,83.42,85.05,84.52,82.25,96.78,112.24,112.16,125.3,121.32,82.62
2009-01,74.6,120.04,,58.56,,84.12,,84.08,,105.71,,84.12,,84.12,,84.12,,84.12,,84.12,,84.12,,84.12,,84.12,,84.12,,84.12,,84.12,,76.46,,93.8,,86.46,,85.44,,96.61,,117.61,,84.08,,84.12,,87.63,,96.07,111.96,,127.39,,84.12
2009-02,76.71,127.18,,60.78,,86.6,,86.49,,106.04,,86.6,,86.6,,86.6,,86.6,,86.6,,86.6,,86.6,,86.6,,86.6,,86.6,,86.6,,83.36,,86.3,,85.12,,96.35,,101.2,,120.84,,90.17,,86.6,,92.03,,97.33,115.57,,135.16,,86.6
2009-03,80.83,128.05,125.09,62.58,60.64,85.07,85.26,84.93,85.17,107.83,106.53,85.07,85.26,85.07,85.26,85.07,85.26,85.07,85.26,85.07,85.26,85.07,85.26,85.07,85.26,85.07,85.26,85.07,85.26,85.07,85.26,85.07,85.26,83.34,81.05,86.95,89.02,84.1,85.23,93.89,91.89,101.65,99.82,120.01,119.49,84.69,86.32,85.07,85.26,92.23,90.63,98.89,112.95,113.5,131.14,131.23,85.07
2009-04,81.73,117.65,,58.77,,84.02,,83.87,,103.84,,84.02,,84.02,,84.02,,84.02,,84.02,,84.02,,84.02,,84.02,,84.02,,84.02,,84.02,,79.54,,96.18,,82.49,,88.44,,97.59,,119.22,,82.14,,84.02,,84.47,,95.76,105.03,,121.95,,84.02
2009-05,79.78,110.81,,56.96,,81.2,,81.03,,99,,81.2,,81.2,,81.2,,81.2,,81.2,,81.2,,81.2,,81.2,,81.2,,81.2,,81.2,,73.79,,95.88,,79.87,,85.58,,91.85,,114.91,,79.46,,81.2,,83.08,,90.03,98.17,,115.96,,81.2
2009-06,79.86,111.33,113.27,56.53,57.42,79.16,81.46,78.97,81.29,93.34,98.73,79.16,81.46,79.16,81.46,79.16,81.46,79.16,81.46,79.16,81.46,79.16,81.46,79.16,81.46,79.16,81.46,79.16,81.46,79.16,81.46,79.16,81.46,71.55,74.96,95.86,95.97,79.23,80.53,85.24,86.42,92.13,93.86,112.33,115.49,76.83,79.48,79.16,81.46,83.99,83.84,88.1,93.67,98.95,109.23,115.71,79.16
2009-07,77.94,111.37,,55.5,,78.74,,78.57,,93.3,,78.74,,78.74,,78.74,,78.74,,78.74,,78.74,,78.74,,78.74,,78.74,,78.74,,78.74,,69.11,,96.56,,78.81,,80.8,,91.15,,112.03,,74.4,,78.74,,84.17,,87.87,93.46,,108.26,,78.74
2009-08,78.42,109.5,,54.37,,77.76,,77.56,,92.44,,77.76,,77.76,,77.76,,77.76,,77.76,,77.76,,77.76,,77.76,,77.76,,77.76,,77.76,,67.64,,96.34,,75.26,,76.66,,84.88,,110.94,,72.99,,77.76,,81.94,,85.06,89.97,,103.08,,77.76
2009-09,75.49,107.18,109.35,54.46,54.78,76.15,77.55,75.97,77.37,93.65,93.13,76.15,77.55,76.15,77.55,76.15,77.55,76.15,77.55,76.15,77.55,76.15,77.55,76.15,77.55,76.15,77.55,76.15,77.55,76.15,77.55,76.15,77.55,66.72,67.83,94.47,95.79,73.18,75.75,75.64,77.7,83.01,86.35,108.03,110.33,70.68,72.69,76.15,77.55,84.44,83.52,84.57,87.18,90.2,99.11,103.48,76.15
2009-10,74.63,103.67,,53.74,,74.88,,74.7,,94.34,,74.88,,74.88,,74.88,,74.88,,74.88,,74.88,,74.88,,74.88,,74.88,,74.88,,74.88,,64.85,,93.93,,69.99,,75.38,,82.52,,106.18,,70.96,,74.88,,83.28,,82.46,82.97,,94.45,,74.88
2009-11,73.67,102.73,,54.36,,74.35,,74.17,,92.11,,74.35,,74.35,,74.35,,74.35,,74.35,,74.35,,74.35,,74.35,,74.35,,74.35,,74.35,,65,,93.82,,69.97,,74,,82.14,,105.19,,70.35,,74.35,,82.58,,82.83,81.74,,95.59,,74.35
2009-12,74.31,102.84,103.08,55.08,54.39,76.14,75.12,75.92,74.93,94.22,93.56,76.14,75.12,76.14,75.12,76.14,75.12,76.14,75.12,76.14,75.12,76.14,75.12,76.14,75.12,76.14,75.12,76.14,75.12,76.14,75.12,76.14,75.12,67.11,65.65,95.02,94.26,71.5,70.49,75.35,74.91,84.69,83.12,107.02,106.13,72.78,71.36,76.14,75.12,81,82.29,82.51,83.4,82.7,97.37,95.8,76.14
2010-01,75.31,100.66,,53.88,,77.67,,77.47,,94.44,,77.67,,77.67,,77.67,,77.67,,77.67,,77.67,,77.67,,77.67,,77.67,,77.67,,77.67,,67.49,,95.25,,71.11,,75.45,,84.73,,107.39,,74.32,,77.67,,80.75,,81.57,82.35,,95.93,,77.67
2010-02,74.47,102.02,,55.39,,81.07,,80.87,,97.76,,81.07,,81.07,,81.07,,81.07,,81.07,,81.07,,81.07,,81.07,,81.07,,81.07,,81.07,,70.93,,97.2,,73.32,,77.72,,86.11,,111.35,,77.1,,81.07,,81.45,,82.65,84.81,,100.01,,81.07
2010-03,74.96,100.41,101.03,56.09,55.12,81.76,80.17,81.53,79.96,101.49,97.9,81.76,80.17,81.76,80.17,81.76,80.17,81.76,80.17,81.76,80.17,81.76,80.17,81.76,80.17,81.76,80.17,81.76,80.17,81.76,80.17,81.76,80.17,69.97,69.46,96.7,96.38,73.4,72.61,75.95,76.37,84.98,85.27,110.78,109.84,76.43,75.95,81.76,80.17,79.19,80.46,80.03,82.39,83.18,99.12,98.35,81.76
2010-04,77.28,98.6,,54.55,,82.82,,82.6,,99.76,,82.82,,82.82,,82.82,,82.82,,82.82,,82.82,,82.82,,82.82,,82.82,,82.82,,82.82,,70.96,,96.8,,73.45,,76.72,,85.53,,111.22,,76.84,,82.82,,77.17,,78.66,81.2,,97.93,,82.82
2010-05,76.01,103.15,,56.59,,88.24,,88,,104.02,,88.24,,88.24,,88.24,,88.24,,88.24,,88.24,,88.24,,88.24,,88.24,,88.24,,88.24,,78.76,,98.31,,78.06,,85.75,,91.35,,117.38,,82.93,,88.24,,80.24,,81.38,86.53,,100.14,,88.24
2010-06,75.06,107.31,103.02,57.65,56.26,90.85,87.3,90.57,87.06,103.56,102.44,90.85,87.3,90.85,87.3,90.85,87.3,90.85,87.3,90.85,87.3,90.85,87.3,90.85,87.3,90.85,87.3,90.85,87.3,90.85,87.3,90.85,87.3,82.47,77.4,97.46,97.52,80.31,77.27,89.03,83.83,92.91,89.93,117.01,115.2,85.75,81.84,90.85,87.3,80.11,79.17,81.21,88.06,85.26,100.84,99.64,90.85
2010-07,72.31,106.46,,56.31,,86.75,,86.63,,99.96,,86.75,,86.75,,86.75,,86.75,,86.75,,86.75,,86.75,,86.75,,86.75,,86.75,,86.75,,79.32,,93.6,,77.81,,84.53,,88.04,,109.46,,80.39,,86.75,,80.76,,81.63,85.76,,97.88,,86.75
2010-08,70.56,104.26,,55.21,,86.02,,85.88,,97.76,,86.02,,86.02,,86.02,,86.02,,86.02,,86.02,,86.02,,86.02,,86.02,,86.02,,86.02,,77.99,,90.59,,76.26,,81.9,,86.64,,107.97,,78.09,,86.02,,80.44,,81.42,83.52,,97.63,,86.02
2010-09,69.73,102.54,104.42,54.6,55.37,84.74,85.84,84.57,85.69,98.1,98.61,84.74,85.84,84.74,85.84,84.74,85.84,84.74,85.84,84.74,85.84,84.74,85.84,84.74,85.84,84.74,85.84,84.74,85.84,84.74,85.84,84.74,85.84,77,78.1,88.55,90.91,74.87,76.31,79.96,82.13,83.51,86.07,104.04,107.16,76.5,78.33,84.74,85.84,80.65,80.62,80.8,80.07,83.11,95.57,97.03,84.74
2010-10,67.6,99.13,,52.09,,79.87,,79.83,,96.36,,79.87,,79.87,,79.87,,79.87,,79.87,,79.87,,79.87,,79.87,,79.87,,79.87,,79.87,,70.62,,84.69,,72.38,,75.42,,79.28,,100.74,,71.79,,79.87,,78.39,,79.72,76.65,,92.76,,79.87
2010-11,68.22,99.83,,52.6,,81.36,,81.28,,95.81,,81.36,,81.36,,81.36,,81.36,,81.36,,81.36,,81.36,,81.36,,81.36,,81.36,,81.36,,72.38,,85.26,,73.99,,76.92,,80.99,,102.35,,73.44,,81.36,,77.7,,79.24,76.04,,90.36,,81.36
2010-12,68.82,101.22,100.06,55.63,53.44,83.95,81.73,83.85,81.65,98.09,96.75,83.95,81.73,83.95,81.73,83.95,81.73,83.95,81.73,83.95,81.73,83.95,81.73,83.95,81.73,83.95,81.73,83.95,81.73,83.95,81.73,83.95,81.73,75.12,72.71,87.77,85.9,74.09,73.49,80.11,77.48,81.23,80.5,100.52,101.2,77.39,74.21,83.95,81.73,78.05,78.05,78.83,75.61,76.1,92.78,91.97,83.95
2011-01,68.24,98.88,,57.17,,83.02,,82.91,,96.8,,83.02,,83.02,,83.02,,83.02,,83.02,,83.02,,83.02,,83.02,,83.02,,83.02,,83.02,,73.76,,88.56,,72.57,,77.08,,79.1,,99.38,,74.28,,83.02,,76.37,,77.75,75.39,,91.11,,83.02
2011-02,68.21,98.79,,58.12,,81.23,,81.15,,94.74,,81.23,,81.23,,81.23,,81.23,,81.23,,81.23,,81.23,,81.23,,81.23,,81.23,,81.23,,70.97,,88.35,,71.01,,76.2,,76.28,,98.66,,72.22,,81.23,,76.01,,77.28,74.49,,91.5,,81.23
2011-03,67.49,98.91,98.86,57.74,57.68,79.16,81.14,79.11,81.05,94.6,95.38,79.16,81.14,79.16,81.14,79.16,81.14,79.16,81.14,79.16,81.14,79.16,81.14,79.16,81.14,79.16,81.14,79.16,81.14,79.16,81.14,79.16,81.14,69.17,71.3,87.35,88.09,69.32,70.97,75.95,76.41,75.3,76.89,95.47,97.84,70.72,72.41,79.16,81.14,75.58,75.99,76.41,74.31,74.73,94.04,92.22,79.16
2011-04,68.73,95.73,,55.62,,76.73,,76.67,,93.3,,76.73,,76.73,,76.73,,76.73,,76.73,,76.73,,76.73,,76.73,,76.73,,76.73,,76.73,,65.63,,85.64,,66.95,,72.7,,73.5,,93.19,,68.2,,76.73,,73.71,,74.93,70.98,,88.36,,76.73
2011-05,67.01,95.83,,57.58,,77.48,,77.41,,93.53,,77.48,,77.48,,77.48,,77.48,,77.48,,77.48,,77.48,,77.48,,77.48,,77.48,,77.48,,66.78,,86.81,,67.9,,72.96,,74.17,,90.76,,69.22,,77.48,,73.41,,75.77,70.44,,87.59,,77.48
2011-06,66.44,95.45,95.67,58.59,57.26,77.01,77.07,76.97,77.02,94.24,93.69,77.01,77.07,77.01,77.07,77.01,77.07,77.01,77.07,77.01,77.07,77.01,77.07,77.01,77.07,77.01,77.07,77.01,77.07,77.01,77.07,77.01,77.07,66.22,66.21,87.33,86.59,67.41,67.42,73.01,72.89,75.03,74.23,87.28,90.41,68.45,68.62,77.01,77.07,74.36,73.83,76.45,70.78,70.73,85.56,87.17,77.01
2011-07,65.56,93.49,,60.58,,77.66,,77.6,,94.61,,77.66,,77.66,,77.66,,77.66,,77.66,,77.66,,77.66,,77.66,,77.66,,77.66,,77.66,,67.07,,88,,67.54,,74.07,,75.78,,85.47,,69.2,,77.66,,73.51,,74.77,69.74,,82.4,,77.66
2011-08,63.59,94.95,,64.18,,77.39,,77.29,,93.42,,77.39,,77.39,,77.39,,77.39,,77.39,,77.39,,77.39,,77.39,,77.39,,77.39,,77.39,,67.94,,86.82,,67.42,,76.28,,75.91,,81.07,,68.79,,77.39,,77.05,,76.8,71.57,,83.23,,77.39
2011-09,63.48,98.94,95.79,65.59,63.45,80.65,78.57,80.47,78.46,96.83,94.95,80.65,78.57,80.65,78.57,80.65,78.57,80.65,78.57,80.65,78.57,80.65,78.57,80.65,78.57,80.65,78.57,80.65,78.57,80.65,78.57,80.65,78.57,74.1,69.71,88.49,87.77,69.7,68.22,83.59,77.98,78.78,76.82,90.7,85.74,72.55,70.18,80.65,78.57,82.24,77.6,78.37,73.54,71.61,85.91,83.85,80.65
2011-10,63.35,101.78,,66.91,,80.85,,80.67,,96.98,,80.85,,80.85,,80.85,,80.85,,80.85,,80.85,,80.85,,80.85,,80.85,,80.85,,80.85,,77.43,,87.91,,69.99,,84.11,,78.79,,93.11,,73.56,,80.85,,84.66,,79.84,74.1,,88.78,,80.85
2011-11,64.05,100.24,,66.28,,81.77,,81.53,,96.65,,81.77,,81.77,,81.77,,81.77,,81.77,,81.77,,81.77,,81.77,,81.77,,81.77,,81.77,,81.49,,88.89,,71.12,,86.62,,79.88,,94.25,,76.3,,81.77,,86.29,,80.16,74.33,,90.55,,81.77
2011-12,64.31,101.54,101.19,68.35,67.18,84.38,82.33,84.05,82.08,98.04,97.22,84.38,82.33,84.38,82.33,84.38,82.33,84.38,82.33,84.38,82.33,84.38,82.33,84.38,82.33,84.38,82.33,84.38,82.33,84.38,82.33,84.38,82.33,82.94,80.62,91.74,89.51,73.05,71.39,90.22,86.98,81.29,79.98,96.99,94.78,78.82,76.23,84.38,82.33,86.74,85.89,80.04,74.22,74.22,90.57,89.97,84.38
2012-01,63.57,100.91,,67.33,,85.97,,85.67,,98.5,,85.97,,85.97,,85.97,,85.97,,85.97,,85.97,,85.97,,85.97,,85.97,,85.97,,85.97,,85.17,,93.75,,73.74,,89.82,,81.27,,97.48,,80.39,,85.97,,84.43,,79.25,72.23,,87.19,,85.97
2012-02,64.91,99.22,,64.26,,83.81,,83.49,,96.69,,83.81,,83.81,,83.81,,83.81,,83.81,,83.81,,83.81,,83.81,,83.81,,83.81,,83.81,,78.54,,93.51,,70.77,,83.68,,79,,94.74,,76.78,,83.81,,80.48,,77.94,70.03,,83.49,,83.81
2012-03,68.13,99.55,99.89,65.4,65.66,83.99,84.59,83.68,84.28,96.58,97.25,83.99,84.59,83.99,84.59,83.99,84.59,83.99,84.59,83.99,84.59,83.99,84.59,83.99,84.59,83.99,84.59,83.99,84.59,83.99,84.59,83.99,84.59,79.2,80.97,95.77,94.34,70.67,71.73,82.97,85.49,79.84,80.04,94.85,95.69,75.87,77.68,83.99,84.59,80.27,81.73,77.72,71.38,71.21,85.04,85.24,83.99
2012-04,67.17,100.32,,65.32,,84.3,,84.03,,95.52,,84.3,,84.3,,84.3,,84.3,,84.3,,84.3,,84.3,,84.3,,84.3,,84.3,,84.3,,80.15,,96.22,,71.3,,84.09,,79.86,,94.89,,76.51,,84.3,,82.25,,77.66,72.66,,85.3,,84.3
2012-05,65.84,102.33,,66.07,,86.72,,86.39,,96.04,,86.72,,86.72,,86.72,,86.72,,86.72,,86.72,,86.72,,86.72,,86.72,,86.72,,86.72,,82.19,,96.4,,73.37,,89.06,,83.41,,97.56,,80.41,,86.72,,85.84,,79.01,75.36,,90.1,,86.72
