指标名称,安徽:建筑业:建筑业总产值:累计值,北京:建筑业:建筑业总产值:累计值,福建:建筑业:建筑业总产值:累计值,甘肃:建筑业:建筑业总产值:累计值,广东:建筑业:建筑业总产值:累计值,广西:建筑业:建筑业总产值:累计值,贵州:建筑业:建筑业总产值:累计值,海南:建筑业:建筑业总产值:累计值,河北:建筑业:建筑业总产值:累计值,黑龙江:建筑业:建筑业总产值:累计值,河南:建筑业:建筑业总产值:累计值,湖北:建筑业:建筑业总产值:累计值,湖南:建筑业:建筑业总产值:累计值,江苏:建筑业:建筑业总产值:累计值,江西:建筑业:建筑业总产值:累计值,吉林:建筑业:建筑业总产值:累计值,辽宁:建筑业:建筑业总产值:累计值,内蒙古:建筑业:建筑业总产值:累计值,宁夏:建筑业:建筑业总产值:累计值,青海:建筑业:建筑业总产值:累计值,山东:建筑业:建筑业总产值:累计值,上海:建筑业:建筑业总产值:累计值,陕西:建筑业:建筑业总产值:累计值,山西:建筑业:建筑业总产值:累计值,四川:建筑业:建筑业总产值:累计值,天津:建筑业:建筑业总产值:累计值,新疆:建筑业:建筑业总产值:累计值,西藏:建筑业:建筑业总产值:累计值,云南:建筑业:建筑业总产值:累计值,浙江:建筑业:建筑业总产值:累计值,重庆:建筑业:建筑业总产值:累计值
2013-09,3234.67 ,5015.59 ,3515.16 ,1044.12 ,4990.93 ,1443.55 ,869.16 ,182.11 ,3494.06 ,1239.89 ,4437.95 ,5211.21 ,3417.62 ,13361.37 ,2098.73 ,1228.51 ,5255.30 ,940.76 ,349.28 ,248.82 ,5423.39 ,3436.04 ,2713.56 ,1860.89 ,4917.17 ,2479.75 ,1383.75 ,47.09 ,1801.63 ,12809.25 ,3046.93 
2013-12,4970.34 ,7407.09 ,5459.41 ,1708.27 ,7729.24 ,2271.39 ,1365.00 ,285.31 ,5203.92 ,2450.57 ,7082.37 ,8343.40 ,5255.98 ,21712.16 ,3459.53 ,2200.15 ,8743.37 ,1540.48 ,564.66 ,396.39 ,8332.70 ,5102.84 ,3993.81 ,2983.81 ,7239.49 ,3670.53 ,2071.52 ,82.11 ,2888.82 ,20066.42 ,4731.88 
2014-03,1016.55 ,1158.60 ,1135.77 ,206.13 ,1531.12 ,470.11 ,287.03 ,71.09 ,736.65 ,28.61 ,1290.71 ,1727.64 ,1022.26 ,3086.06 ,680.31 ,86.51 ,598.72 ,57.79 ,43.59 ,52.98 ,1300.06 ,1054.48 ,638.35 ,339.10 ,1564.15 ,605.99 ,74.68 ,9.28 ,558.55 ,3785.57 ,1019.67 
2014-06,2363.03 ,3457.93 ,2701.71 ,733.28 ,3490.81 ,1101.74 ,688.73 ,121.25 ,2224.85 ,469.89 ,3140.61 ,4011.38 ,2447.59 ,9169.17 ,1513.07 ,653.37 ,2779.79 ,392.83 ,202.17 ,146.61 ,3780.56 ,2343.51 ,1895.39 ,1187.33 ,3490.68 ,1693.86 ,659.03 ,27.84 ,1249.24 ,9022.49 ,2239.96 
2014-09,3686.67 ,5709.12 ,4302.55 ,1288.87 ,5587.82 ,1672.63 ,1113.82 ,187.96 ,3744.39 ,1154.99 ,5039.82 ,6201.34 ,3977.48 ,15671.59 ,2516.47 ,1425.86 ,5160.63 ,899.53 ,394.25 ,278.79 ,6219.28 ,3692.66 ,3153.70 ,2035.26 ,5678.31 ,2766.83 ,1528.03 ,47.85 ,1970.17 ,14560.56 ,3580.28 
2014-12,5482.93 ,8209.80 ,6689.21 ,1814.52 ,8356.50 ,2608.91 ,1640.24 ,276.33 ,5625.75 ,2150.75 ,7911.89 ,10059.59 ,6020.97 ,24592.93 ,4122.63 ,2521.00 ,7851.12 ,1402.93 ,625.16 ,432.91 ,9313.45 ,5499.94 ,4557.71 ,3103.49 ,8066.66 ,4123.49 ,2306.28 ,71.25 ,3054.67 ,22668.19 ,5552.20 
2015-03,1077.45 ,1276.77 ,1318.63 ,215.37 ,1623.75 ,545.01 ,340.87 ,73.52 ,785.64 ,29.21 ,1450.02 ,1986.84 ,1196.86 ,3426.53 ,795.66 ,94.02 ,478.94 ,53.08 ,44.29 ,52.27 ,1429.96 ,1113.45 ,720.41 ,340.47 ,1748.72 ,660.54 ,83.56 ,9.32 ,566.30 ,4165.90 ,1192.01 
2015-06,2444.41 ,3604.41 ,3128.58 ,753.27 ,3790.75 ,1250.25 ,816.03 ,131.37 ,2239.44 ,358.61 ,3365.85 ,4466.53 ,2772.35 ,9320.13 ,1760.64 ,667.27 ,1961.10 ,319.76 ,173.13 ,151.94 ,3821.19 ,2454.68 ,1957.04 ,1070.13 ,3837.44 ,1846.21 ,646.49 ,29.67 ,1268.86 ,9348.91 ,2617.98 
2015-09,3821.36 ,5795.96 ,5007.75 ,1313.51 ,6027.98 ,1891.15 ,1333.77 ,190.68 ,3590.05 ,815.20 ,5322.37 ,6878.61 ,4402.88 ,15429.93 ,2836.27 ,1314.95 ,3752.23 ,702.24 ,335.53 ,264.98 ,6234.13 ,3807.32 ,3223.75 ,1851.41 ,6079.50 ,3013.61 ,1464.71 ,69.71 ,2026.16 ,14974.13 ,4175.46 
2015-12,5695.94 ,8436.73 ,7605.81 ,1849.02 ,8865.68 ,2953.42 ,1947.74 ,278.63 ,5252.57 ,1680.39 ,8047.65 ,10592.86 ,6630.82 ,24785.81 ,4602.49 ,2216.31 ,5413.76 ,1123.47 ,524.53 ,409.51 ,9381.72 ,5652.47 ,4752.61 ,2931.26 ,8768.24 ,4488.90 ,2255.74 ,106.92 ,3268.93 ,23980.59 ,6256.94 
2016-03,1139.74 ,1291.54 ,1497.97 ,226.85 ,1799.12 ,619.83 ,406.07 ,77.71 ,794.29 ,29.47 ,1567.04 ,2207.81 ,1408.75 ,3521.30 ,899.89 ,98.65 ,418.06 ,54.57 ,47.42 ,52.99 ,1481.97 ,1142.67 ,773.61 ,373.64 ,1910.41 ,712.67 ,91.91 ,10.63 ,628.03 ,4214.58 ,1350.77 
2016-06,2592.98 ,3643.65 ,3535.10 ,798.54 ,4155.64 ,1409.21 ,971.34 ,141.09 ,2336.75 ,370.07 ,3547.85 ,4993.36 ,3139.03 ,9485.91 ,1978.84 ,693.79 ,1740.64 ,328.06 ,180.42 ,161.59 ,4021.92 ,2655.33 ,2103.18 ,1226.27 ,4211.89 ,2002.99 ,676.95 ,33.15 ,1418.59 ,9942.96 ,2964.70 
